"Panel_Name","Major_Functional_Class"
"HSP70","Resolution"
"HSP70","Immune cell amplification"
"MMP-8","Tissue construction / repair"
"MMP-8","Immune cell activation"
"Eotaxin-2","Immune cell amplification"
"Eotaxin-2","Immune cell positioning"
"Eotaxin-2","Tissue construction / repair"
"BCA-1","Immune cell positioning"
"BCA-1","Immune cell activation"
"BCA-1","Tissue construction / repair"
"MCP-4","Immune cell positioning"
"I-309","Immune cell positioning"
"IL-16","Immune cell positioning"
"IL-16","Immune cell activation"
"6CKine","Immune cell positioning"
"6CKine","Resolution"
"LIF","Immune cell amplification"
"LIF","Resolution"
"LIF","Tissue construction / repair"
"SCF","Immune cell positioning"
"SCF","Immune cell amplification"
"SCF","Tissue destruction"
"SCF","Resolution"
"TSLP","Immune cell activation"
"TSLP","Immune cell amplification"
"TSLP","Resolution"
"IL-21","Immune cell activation"
"IL-21","Immune cell amplification"
"IL-23","Immune cell activation"
"IL-23","Resolution"
"IL-23","Immune cell amplification"
"IL-23","Bone remodeling"
"IL-23","Immune cell positioning"
"TRAIL","Tissue destruction"
"SDF-1a.b","Immune cell positioning"
"SDF-1a.b","Immune cell amplification"
"SDF-1a.b","Tissue construction / repair"
"SDF-1a.b","Immune cell activation"
"SDF-1a.b","Resolution"
"ENA-78","Immune cell positioning"
"ENA-78","Immune cell amplification"
"MIP-1d","Immune cell positioning"
"IL-28A","Immune cell activation"
"EGF","Tissue construction / repair"
"EGF","Immune cell amplification"
"EGF","Immune cell positioning"
"EGF","Immune cell activation"
"EGF","Resolution"
"Eotaxin","Immune cell amplification"
"Eotaxin","Immune cell positioning"
"Eotaxin","Tissue construction / repair"
"Eotaxin","Resolution"
"TGF-A","Tissue construction / repair"
"TGF-A","Immune cell amplification"
"G-CSF","Immune cell amplification"
"Flt-3L","Immune cell amplification"
"GM-CSF","Immune cell activation"
"GM-CSF","Immune cell amplification"
"GM-CSF","Immune cell positioning"
"GM-CSF","Tissue construction / repair"
"GM-CSF","Resolution"
"Fractalkine","Immune cell activation"
"Fractalkine","Immune cell amplification"
"Fractalkine","Immune cell positioning"
"Fractalkine","Resolution"
"Fractalkine","Tissue construction / repair"
"Fractalkine","Tissue destruction"
"IFN-A","Immune cell activation"
"IFN-y","Resolution"
"IFN-y","Immune cell activation"
"IFN-y","Tissue destruction"
"IFN-y","Immune cell amplification"
"IFN-y","Immune cell positioning"
"IFN-y","Bone remodeling"
"GRO","Immune cell positioning"
"GRO","Immune cell amplification"
"IL-10","Immune cell activation"
"IL-10","Immune cell amplification"
"IL-10","Resolution"
"IL-10","Tissue destruction"
"IL-10","Immune cell positioning"
"IL-10","Tissue construction / repair"
"MCP-3","Immune cell positioning"
"IL-12p40","Immune cell activation"
"IL-12p40","Resolution"
"IL-12p40","Immune cell positioning"
"IL-12p40","Immune cell amplification"
"IL-12p40","Tissue destruction"
"IL-12p40","Bone remodeling"
"MDC","Immune cell positioning"
"IL-12p70","Immune cell positioning"
"IL-12p70","Resolution"
"IL-12p70","Immune cell activation"
"IL-12p70","Immune cell amplification"
"IL-12p70","Tissue destruction"
"PDGF-AA","Tissue construction / repair"
"PDGF-AA","Immune cell activation"
"PDGF-AA","Immune cell amplification"
"PDGF-AA","Resolution"
"PDGF-AA","Immune cell positioning"
"IL-13","Immune cell activation"
"IL-13","Immune cell amplification"
"IL-13","Resolution"
"IL-15","Immune cell amplification"
"IL-15","Immune cell activation"
"IL-15","Resolution"
"sCD40L","Immune cell activation"
"sCD40L","Immune cell amplification"
"sCD40L","Resolution"
"sCD40L","Tissue destruction"
"IL-17A","Tissue destruction"
"IL-17A","Immune cell amplification"
"IL-17A","Immune cell activation"
"IL-17A","Bone remodeling"
"IL-17A","Tissue construction / repair"
"IL-17A","Immune cell positioning"
"IL-17A","Resolution"
"IL-1RA","Resolution"
"IL-1A","Immune cell activation"
"IL-1A","Tissue construction / repair"
"IL-1A","Tissue destruction"
"IL-1A","Immune cell amplification"
"IL-1A","Immune cell positioning"
"IL-1A","Resolution"
"IL-1B","Immune cell activation"
"IL-1B","Tissue destruction"
"IL-1B","Immune cell amplification"
"IL-1B","Tissue construction / repair"
"IL-1B","Resolution"
"IL-1B","Immune cell positioning"
"IL-2","Immune cell activation"
"IL-2","Resolution"
"IL-2","Immune cell amplification"
